Rack:Tube,Solution Label,Timestamp,Al 237.312 nm ppm,Al 308.215 nm ppm,Ca 315.887 nm ppm,Ca 422.673 nm ppm,Fe 238.204 nm ppm,Fe 259.940 nm ppm,K 766.491 nm ppm,K 769.897 nm ppm,Mg 279.553 nm ppm,Mg 280.270 nm ppm,Mn 257.610 nm ppm,Mn 293.931 nm ppm,Na 588.995 nm ppm,Na 589.592 nm ppm,P 213.618 nm ppm,P 214.914 nm ppm,Ti 334.941 nm ppm,Ti 336.122 nm ppm
Rack:Tube,Solution Label,Timestamp,Al 237.312 nm ppm,Al 308.215 nm ppm,Ca 315.887 nm ppm,Ca 422.673 nm ppm,Fe 238.204 nm ppm,Fe 259.940 nm ppm,K 766.491 nm ppm,K 769.897 nm ppm,Mg 279.553 nm ppm,Mg 280.270 nm ppm,Mn 257.610 nm ppm,Mn 293.931 nm ppm,Na 588.995 nm ppm,Na 589.592 nm ppm,P 213.618 nm ppm,P 214.914 nm ppm,Ti 334.941 nm ppm,Ti 336.122 nm ppm
S1:1,Blank,28-04-2025 13:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1:2,Standard 1,28-04-2025 13:38,1.58,1.58,0.16,0.16,1.49,1.49,0.79,0.79,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15
S1:3,Standard 2,28-04-2025 13:40,3.12,3.12,0.31,0.31,3.03,3.03,1.57,1.57,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.31,0.31
S1:4,Standard 3,28-04-2025 13:42,6.31,6.31,0.63,0.63,6.13,6.13,3.17,3.17,0.63,0.63,0.62,0.62,0.62,0.62,0.61,0.61,0.63,0.63
S1:5,Standard 4,28-04-2025 13:43,12.65,12.65,1.26,1.26,12.28,12.28,6.36,6.36,1.26,1.26,1.25,1.25,1.25,1.25,1.23,1.23,1.26,1.26
S1:6,Standard 5,28-04-2025 13:45,25.14,25.14,2.51,2.51,24.41,24.41,12.64,12.64,2.5,2.5,2.48,2.48,2.48,2.48,2.45,2.45,2.5,2.5
S1:7,Standard 6,28-04-2025 13:47,50.51,50.51,5.05,5.05,49.04,49.04,--,--,5.02,5.02,4.99,4.99,--,--,4.91,4.91,5.02,5.02
01:01,BLK 1,28-04-2025 13:50,3.14,5.22,4.28,4.28,43.04,43.44,1.69,8.7,0.85,0.83,0.2,0.2,5.51,5.35,0.49,0.68 u,0.26,0.23
01:02,BLK 2,28-04-2025 13:51,1.09,3.33,5.09,5.06,41.53,41.77,1.11,6.57,0.65,0.63,0.16,0.15,5.16,4.92,0.22 u,-0.08 u,0.11,0.08
01:03,BLK 3,28-04-2025 13:53,0.55,1.89,3.46,3.45,39.23,39.61,0.78,6.5,0.37,0.37,0.15,0.14,2.93,2.8,0.08 u,0.01 u,0.08,0.04
S1:8,QC MES 5 ppm,28-04-2025 13:55,4.91,4.88,4.5,4.58,4.85,4.87,5.41,5.3,4.48,4.65,4.75,4.85,4.94,5.05,4.93,4.87,4.79,4.78
S1:9,SJS-Std,28-04-2025 13:57,79921.12,79088.4,19696.95,19358.66,37501.38,37387.43,24132.12,23754.57,15564.61,15483.99,578.63,575.18,13180.48,13235.92,672.82,821.39,3532.5,3519.51
S1:9,SJS-Std,28-04-2025 13:59,79553.63,78821.61,19618.55,19272.88,37369.87,37480.8,24064.67,23656.63,15499.38,15415.54,575.05,570.86,13091.69,13111.4,674.83,727,3522.77,3511.61
S1:9,SJS-Std,28-04-2025 14:01,79931.37,79116.35,19673.33,19359.23,37442.27,37231.86,24126.45,23724.81,15535.64,15449.81,575.5,574.95,13160.33,13142.6,652.88,771.49,3531.7,3518.33
01:04,MCS 575,28-04-2025 14:03,81895.69,82353.28,1432.74,1455.62,38134.3,38128.56,26472.68,25992.93,7278.8,7263.47,723.84,727.23,4124.44,4089.86,411.52,450.36,4372.81,4362.08
