Rack:Tube,Solution Label,Timestamp,Al 237.312 nm ppm,Al 308.215 nm ppm,Ca 315.887 nm ppm,Ca 422.673 nm ppm,Fe 238.204 nm ppm,Fe 259.940 nm ppm,K 766.491 nm ppm,K 769.897 nm ppm,Mg 279.553 nm ppm,Mg 280.270 nm ppm,Mn 257.610 nm ppm,Mn 293.931 nm ppm,Na 588.995 nm ppm,Na 589.592 nm ppm,P 213.618 nm ppm,P 214.914 nm ppm,Ti 334.941 nm ppm,Ti 336.122 nm ppm,Al 237.312 nm c/s,Al 308.215 nm c/s,Ca 315.887 nm c/s,Ca 422.673 nm c/s,Fe 238.204 nm c/s,Fe 259.940 nm c/s,K 766.491 nm c/s,K 769.897 nm c/s,Mg 279.553 nm c/s,Mg 280.270 nm c/s,Mn 257.610 nm c/s,Mn 293.931 nm c/s,Na 588.995 nm c/s,Na 589.592 nm c/s,P 213.618 nm c/s,P 214.914 nm c/s,Ti 334.941 nm c/s,Ti 336.122 nm c/s
Rack:Tube,Solution Label,Timestamp,Al 237.312 nm ppm,Al 308.215 nm ppm,Ca 315.887 nm ppm,Ca 422.673 nm ppm,Fe 238.204 nm ppm,Fe 259.940 nm ppm,K 766.491 nm ppm,K 769.897 nm ppm,Mg 279.553 nm ppm,Mg 280.270 nm ppm,Mn 257.610 nm ppm,Mn 293.931 nm ppm,Na 588.995 nm ppm,Na 589.592 nm ppm,P 213.618 nm ppm,P 214.914 nm ppm,Ti 334.941 nm ppm,Ti 336.122 nm ppm,Al 237.312 nm c/s,Al 308.215 nm c/s,Ca 315.887 nm c/s,Ca 422.673 nm c/s,Fe 238.204 nm c/s,Fe 259.940 nm c/s,K 766.491 nm c/s,K 769.897 nm c/s,Mg 279.553 nm c/s,Mg 280.270 nm c/s,Mn 257.610 nm c/s,Mn 293.931 nm c/s,Na 588.995 nm c/s,Na 589.592 nm c/s,P 213.618 nm c/s,P 214.914 nm c/s,Ti 334.941 nm c/s,Ti 336.122 nm c/s
S1:1,Blank,7/1/2025 10:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.98,688.25,158.47,1901.02,337.1,250.75,310.36,16056.99,1736.63,489.12,3674.34,587.46,17867.39,1235.4,69.72,17.75,158.58,114.39
S1:2,Standard 1,7/1/2025 10:46,1.52,1.52,0.31,0.31,1.54,1.54,0.76,0.76,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.31,0.31,6753.51,14552.43,5973.76,64444.86,163392.5,106650.23,32655.37,45025.37,493791.92,136311.22,142501.19,22575.77,144141.28,61417.66,962.51,374.32,114711.67,78140.31
S1:3,Standard 2,7/1/2025 10:48,3.05,3.05,0.62,0.62,3.06,3.06,1.53,1.53,0.64,0.64,0.64,0.64,0.62,0.62,0.61,0.61,0.61,0.61,13756.2,28921.14,12150.49,132296.96,334742.56,216601.02,69096.85,76288.1,994079.88,275187.38,285832.68,45001.95,281670.57,128021.55,1954.23,759.14,235455.66,160303.64
S1:4,Standard 3,7/1/2025 10:49,6.08,6.08,1.23,1.23,6.08,6.08,3.05,3.05,1.27,1.27,1.27,1.27,1.24,1.24,1.21,1.21,1.22,1.22,27771.07,57759.01,24386.56,271839.85,665014.26,435112.83,147150.54,144458.2,1978904.9,547029.23,568289.45,90097.04,569948.21,271388.55,3928.83,1504.4,478015.54,325778.68
S1:5,Standard 4,7/1/2025 10:51,12.33,12.33,2.49,2.49,12.33,12.33,6.18,6.18,2.57,2.57,2.59,2.59,2.5,2.5,2.46,2.46,2.48,2.48,56376.02,118284.12,49191.27,564878.93,1336228.66,873663.26,318026.49,297712.33,3895808.35,1093731.82,1140340.16,181586.54,1210647.45,585677.78,8001.1,3055.9,970737.73,661691.44
S1:6,Standard 5,7/1/2025 10:53,24.32,24.32,4.91,4.91,24.34,24.34,12.19,--,5.08,5.08,5.1,5.1,4.94,4.94,4.86,4.86,4.89,4.89,111163.7,235897.67,96287.61,1141397.85,2591543.93,1693889.4,665296.72,--,7185328.44,2095839.82,2211866.8,354302.79,2553010.18,1267613.62,15890.08,6065.97,1912602.55,1303355.19
S1:7,Standard 6,7/1/2025 10:55,49.07,49.07,9.91,9.91,49.1,49.1,24.6,--,10.24,10.24,10.29,10.29,--,--,9.81,9.81,9.86,9.86,223302.35,483356.36,192744.74,2355136.13,5026652.23,3316086.52,1411078.06,--,12940345.78,4000871.59,4313840.91,702784.11,--,--,32115.7,12308.29,3841742.78,2621535.5
1:01,BLK 1,7/1/2025 10:58,12.01,14.84,241.52,231.4,1.22,1.22,0.21,-2.05 u,3.97,3.86,-1.81 u,-1.83 u,0.11,1.02,-3.47 u,-2.58 u,0.05,0.04,272.88,1321.25,21124.65,229002.07,921.32,630.05,354.97,15694.04,28314.95,7712.8,158.75,24.72,18071.92,2221.95,20.55,3.44,239.05,161.69
1:02,BLK 2,7/1/2025 11:00,7.38,10.82,138.8,134.15,1.75,1.76,-0.16 u,-9.07 u,3.02,2.94,-1.83 u,-1.83 u,0.62,1.64,-3.42 u,-3.95 u,0.05,0.04,180.61,1149.63,12199.38,133470.09,1174.79,797.55,275.4,14449.84,21920.91,5975.07,132.58,22.52,19056.16,2815.42,21.23,-4.19,249.25,155.48
