Rack:Tube,Solution Label,Timestamp,Al 237.312 nm ppm,Al 308.215 nm ppm,Ca 315.887 nm ppm,Ca 422.673 nm ppm,Fe 238.204 nm ppm,Fe 259.940 nm ppm,K 766.491 nm ppm,K 769.897 nm ppm,Mg 279.553 nm ppm,Mg 280.270 nm ppm,Mn 257.610 nm ppm,Mn 293.931 nm ppm,Na 588.995 nm ppm,Na 589.592 nm ppm,P 213.618 nm ppm,P 214.914 nm ppm,Ti 334.941 nm ppm,Ti 336.122 nm ppm,Al 237.312 nm c/s,Al 308.215 nm c/s,Ca 315.887 nm c/s,Ca 422.673 nm c/s,Fe 238.204 nm c/s,Fe 259.940 nm c/s,K 766.491 nm c/s,K 769.897 nm c/s,Mg 279.553 nm c/s,Mg 280.270 nm c/s,Mn 257.610 nm c/s,Mn 293.931 nm c/s,Na 588.995 nm c/s,Na 589.592 nm c/s,P 213.618 nm c/s,P 214.914 nm c/s,Ti 334.941 nm c/s,Ti 336.122 nm c/s
Rack:Tube,Solution Label,Timestamp,Al 237.312 nm ppm,Al 308.215 nm ppm,Ca 315.887 nm ppm,Ca 422.673 nm ppm,Fe 238.204 nm ppm,Fe 259.940 nm ppm,K 766.491 nm ppm,K 769.897 nm ppm,Mg 279.553 nm ppm,Mg 280.270 nm ppm,Mn 257.610 nm ppm,Mn 293.931 nm ppm,Na 588.995 nm ppm,Na 589.592 nm ppm,P 213.618 nm ppm,P 214.914 nm ppm,Ti 334.941 nm ppm,Ti 336.122 nm ppm,Al 237.312 nm c/s,Al 308.215 nm c/s,Ca 315.887 nm c/s,Ca 422.673 nm c/s,Fe 238.204 nm c/s,Fe 259.940 nm c/s,K 766.491 nm c/s,K 769.897 nm c/s,Mg 279.553 nm c/s,Mg 280.270 nm c/s,Mn 257.610 nm c/s,Mn 293.931 nm c/s,Na 588.995 nm c/s,Na 589.592 nm c/s,P 213.618 nm c/s,P 214.914 nm c/s,Ti 334.941 nm c/s,Ti 336.122 nm c/s
S1:1,Blank,7/9/2025 11:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.58,300.12,77.91,995.97,1487.22,978.86,566.15,15769.86,7524.82,2355.48,89.5,23.48,14548.62,817.16,2.99,2.29,187.66,1.12
S1:2,Standard 1,7/9/2025 11:32,1.56,1.56,0.32,0.32,1.58,1.58,0.77,0.77,0.32,0.32,0.33,0.33,0.32,0.32,0.31,0.31,0.34,0.34,7175.21,13728.38,6648.3,65650.72,144767.86,91768.8,38006.94,48593.72,467053.29,145828.67,129111.73,19434.1,166973.18,74609.91,825.19,343.63,97730.56,71063.25
S1:3,Standard 2,7/9/2025 11:34,3.16,3.16,0.66,0.66,3.16,3.16,1.56,1.56,0.64,0.64,0.67,0.67,0.65,0.65,0.63,0.63,0.69,0.69,14505.81,27560.26,13585.94,136288.02,291566.34,184484.42,80118.65,83990.41,937129.9,293299.12,261253.05,39157.03,329622.31,156208.05,1645.73,712.66,199242.1,145104.64
S1:4,Standard 3,7/9/2025 11:36,6.32,6.32,1.31,1.31,6.33,6.33,3.12,3.12,1.28,1.28,1.34,1.34,1.3,1.3,1.27,1.27,1.37,1.37,28877.06,55174.9,26587.36,274653.52,572794.79,363030.22,168951.91,159988.98,1814087.63,569240.95,515299.52,77612.65,674948.87,326595.56,3285.98,1393.42,397360.27,291249.77
S1:5,Standard 4,7/9/2025 11:38,12.5,12.5,2.6,2.6,12.53,12.53,6.17,6.17,2.53,2.53,2.66,2.66,2.57,2.57,2.5,2.5,2.72,2.72,55705.74,108093.12,51097.22,540100.29,1105317.61,698891.68,352809.29,322077.47,3423520.18,1088514.95,994439.46,150513.23,1370927.54,678833.54,6435.75,2754.71,775256.81,564601.76
S1:6,Standard 5,7/9/2025 11:40,25.05,25.05,5.2,5.2,25.11,25.11,12.37,12.37,5.08,5.08,5.33,5.33,5.15,5.15,5.02,5.02,5.44,5.44,110348.06,216589.39,100523.17,1088848.62,2143296.78,1359977.96,745025.57,685630.87,6363376.09,2092264.39,1944681.59,296043.73,2896232.3,1469078.41,12726.56,5405.34,1533168.07,1116278.72
S1:7,Standard 6,7/9/2025 11:42,49.69,49.69,10.32,10.32,49.8,49.8,24.54,--,10.07,10.07,10.57,10.57,--,10.21,9.96,9.96,10.79,10.79,216240.51,427569.55,194469.13,2161241.95,4038737.83,2582402.88,1533791.96,--,11154705.28,3861310.96,3689092.52,572479.22,--,3155640.17,25092.04,10645.92,2988651.61,2175599.11
1:01,BLK 1,7/9/2025 11:44,13.55,12.89,4.6,4.26,29.99,31.96,6.71,0.80 u,8.64,9.2,0.62,0.6,0.00 u,0.73,-0.05 u,2.3,1.74,1.7,371.84,824.05,497.48,5159.91,14071.44,8944.13,2322.07,15942.31,61952.96,19117.69,1191.77,181.85,14556.62,1718.75,2.36,13.94,2544.03,1682.07
1:02,BLK 2,7/9/2025 11:46,17.05,15.61,5.95,5.74,32.72,34.79,8.55,2.54,9.74,10.36,0.64,0.62,1.18,2.05,-0.36 u,1.06,1.84,1.73,426.03,901.1,591.44,6303.04,14484.41,9187.56,2683.53,16288.09,65556.85,20226.18,1166.55,179.39,17108.43,3219.93,-1.13,7.36,2556.23,1622.23
1:03,BLK 3,7/9/2025 11:48,14.57,13.66,4.51,4.22,30.09,31.9,6.84,0.26 u,8.72,9.29,0.59,0.59,-0.20 u,0.65,-0.30 u,0.17 u,1.68,1.65,396.03,860.69,493.23,5156.1,14223.86,9000.96,2370.95,15825.38,62922.33,19435.93,1147.05,181.25,14080.28,1632.68,-0.68,3.17,2493.05,1646.98
S1:8,QC MES 5 ppm,7/9/2025 11:50,5.17,5.08,4.96,4.97,5.05,5.36,5.11,5.38,4.74,5.39,4.92,5.07,5.21,4.87,4.91,4.99,5,4.94,22993.58,44034.9,95948.58,1029472.63,450744.3,284257.74,284009.76,261248.07,6331601.59,2082800.05,1864904.57,284558.75,2539821.36,1279572.61,12755.78,5372.22,1437281.35,1036401.19
S1:9,SJS-Std,7/9/2025 13:09,76731.2,72018.76,18183.89,18114.98,33014.01,34659.15,20865.69,21359.57,14080.83,15412.66,531.49,520.86,12496.71,11502.26,567.31,622.57,3183.9,3176.44,36044.06,65918.52,37257.95,397330.9,311859.88,194560.83,122877.03,118916.92,1994081.08,631930.56,21398.02,3113.33,655626.81,320143.91,158.74,73.07,97021.42,70499.55
S1:9,SJS-Std,7/9/2025 13:11,76436.54,71726.01,18068.85,18088.25,32772.4,34459.39,20726.13,21171.6,14023.52,15353.1,527.69,519.94,12342.17,11467.76,556.15,639.57,3163.8,3156.4,35905.98,65651.79,37022.73,396746.08,309588.47,193445.1,122058.94,118009.2,1985994.58,629497.78,21245.55,3107.87,647699.03,319185.98,155.67,75.01,96410.01,70054.85
S1:9,SJS-Std,7/9/2025 13:13,76200.62,71498.45,17996.9,17983.2,32719.5,34180.65,20690.5,21125.91,13991.8,15312.39,526.8,517.56,12271.46,11413.05,563.07,653.53,3149.16,3143.57,35795.43,65444.45,36875.61,394447.65,309091.14,191888.25,121850.11,117788.56,1981519.78,627834.97,21209.92,3093.76,644071.64,317667.11,157.57,76.59,95964.97,69769.98
1:04,MCS 3013,7/9/2025 13:15,69418.12,65605.66,1230.54,1268.43,26506.49,27924.65,40689.33,43321.64,2613.79,2837.47,286.97,283.57,3588.6,3377.5,150.93,267.06,3982.44,3973.33,58784.82,108161.42,4617.99,51072.5,451144.71,282414.48,430951.17,393266.96,672932.17,211499.35,20849.99,3058.87,346736.93,170013.81,77.76,57.08,218742.85,159125.75
1:05,MCS 3014,7/9/2025 13:17,63986.62,61075.94,1215.94,1284.95,9578.88,10007.84,56204.79,62534.69,1125.14,1218.45,92.71,90.74,5876.75,5430.63,179.67,210.29,1455.66,1451.52,84872.4,157655.24,7108.05,80491.37,256129.66,159037.42,932180.88,869687.72,456384.61,143092.37,10600.11,1545.55,867026.29,427134.44,142.46,69.9,125373.99,91095.56
1:06,MCS 3015,7/9/2025 13:19,66227.65,63126.02,1087.26,1148.24,17228.28,18220.47,51243.83,56769.47,1601.38,1741.72,181.52,179.73,4364.46,4106.57,108.26,132.47,2674.94,2669.04,89070.04,165213.35,6452.09,73027.72,465889.51,292771.08,861839.41,801812.85,655314.82,206349.04,20955.57,3080.53,656516.45,327704.98,88.21,45.47,233452.1,169849.11
1:07,MCS 3016,7/9/2025 13:21,80627.81,77370.56,3692.4,3930.86,20861.26,21830.5,60305.9,67658.8,1729.86,1882.23,228.19,226.7,10565.39,9836.23,236.56,301.58,2881.36,2872.49,111139.57,207505.14,22268.89,253783.94,577948.71,359368.33,1039616.59,976127.95,724871.2,228344.82,26980.22,3976.4,1607657.82,803465.22,193.88,103.07,257766.47,187389.43
