Rack:Tube,Solution Label,Timestamp,Al 237.312 nm ppm,Al 308.215 nm ppm,Ca 315.887 nm ppm,Ca 422.673 nm ppm,Fe 238.204 nm ppm,Fe 259.940 nm ppm,K 766.491 nm ppm,K 769.897 nm ppm,Mg 279.553 nm ppm,Mg 280.270 nm ppm,Mn 257.610 nm ppm,Mn 293.931 nm ppm,Na 588.995 nm ppm,Na 589.592 nm ppm,P 213.618 nm ppm,P 214.914 nm ppm,Ti 334.941 nm ppm,Ti 336.122 nm ppm,Al 237.312 nm c/s,Al 308.215 nm c/s,Ca 315.887 nm c/s,Ca 422.673 nm c/s,Fe 238.204 nm c/s,Fe 259.940 nm c/s,K 766.491 nm c/s,K 769.897 nm c/s,Mg 279.553 nm c/s,Mg 280.270 nm c/s,Mn 257.610 nm c/s,Mn 293.931 nm c/s,Na 588.995 nm c/s,Na 589.592 nm c/s,P 213.618 nm c/s,P 214.914 nm c/s,Ti 334.941 nm c/s,Ti 336.122 nm c/s
Rack:Tube,Solution Label,Timestamp,Al 237.312 nm ppm,Al 308.215 nm ppm,Ca 315.887 nm ppm,Ca 422.673 nm ppm,Fe 238.204 nm ppm,Fe 259.940 nm ppm,K 766.491 nm ppm,K 769.897 nm ppm,Mg 279.553 nm ppm,Mg 280.270 nm ppm,Mn 257.610 nm ppm,Mn 293.931 nm ppm,Na 588.995 nm ppm,Na 589.592 nm ppm,P 213.618 nm ppm,P 214.914 nm ppm,Ti 334.941 nm ppm,Ti 336.122 nm ppm,Al 237.312 nm c/s,Al 308.215 nm c/s,Ca 315.887 nm c/s,Ca 422.673 nm c/s,Fe 238.204 nm c/s,Fe 259.940 nm c/s,K 766.491 nm c/s,K 769.897 nm c/s,Mg 279.553 nm c/s,Mg 280.270 nm c/s,Mn 257.610 nm c/s,Mn 293.931 nm c/s,Na 588.995 nm c/s,Na 589.592 nm c/s,P 213.618 nm c/s,P 214.914 nm c/s,Ti 334.941 nm c/s,Ti 336.122 nm c/s
S1:1,Blank,7/10/2025 10:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.61,216.22,78.46,1006.27,1098.06,735.43,548.91,13814.92,5754.54,1813.28,84.13,11.68,10883.93,722.72,1.2,3.92,231.2,-57.28
S1:2,Standard 1,7/10/2025 10:55,1.56,1.56,0.32,0.32,1.58,1.58,0.77,0.77,0.32,0.32,0.33,0.33,0.32,0.32,0.31,0.31,0.34,0.34,6896.72,12986.91,6196.17,63882.12,132548.41,84725.52,38015.17,46705.78,431860.02,136299.97,119574.16,17849,160523.41,73023.13,729.66,313.11,92063.9,67382.81
S1:3,Standard 2,7/10/2025 10:57,3.16,3.16,0.66,0.66,3.16,3.16,1.56,1.56,0.64,0.64,0.67,0.67,0.65,0.65,0.63,0.63,0.69,0.69,13994.89,26357.1,12811.77,133253.53,271194.78,171996.75,80360.85,82522.98,872259.41,276829.2,243684.79,36336.14,323922.05,153801.73,1499.01,649.23,188874.37,138209.37
S1:4,Standard 3,7/10/2025 10:59,6.32,6.32,1.31,1.31,6.33,6.33,3.12,3.12,1.28,1.28,1.34,1.34,1.3,1.3,1.27,1.27,1.37,1.37,28150.25,53136.97,25329.91,269920.52,540328.34,342077.98,170515.98,159977.56,1707922.05,543241.17,486534.82,72839.78,659483.18,324898.37,3026.78,1314.48,380706.14,279459.92
S1:5,Standard 4,7/10/2025 11:01,12.5,12.5,2.6,2.6,12.53,12.53,6.17,6.17,2.53,2.53,2.66,2.66,2.57,2.57,2.5,2.5,2.72,2.72,54687.51,105039.32,49019.65,535581.3,1044211.78,664292.55,357188.44,325774.07,3242048.85,1046720.92,947260.74,142384.84,1379945.77,682573.61,5966.39,2582.56,749489.79,547999.78
S1:6,Standard 5,7/10/2025 11:03,25.05,25.05,5.2,5.2,25.11,25.11,12.37,--,5.08,5.08,5.33,5.33,5.15,5.15,5.02,5.02,5.44,5.44,109771.61,213569.26,97720.78,1095682.91,2048733.48,1309106.17,758848.21,--,6107589.22,2032394.99,1874503.58,284432.63,2936619.76,1489395.61,11998.04,5193.72,1501184.35,1097374.87
S1:7,Standard 6,7/10/2025 11:05,49.69,49.69,10.32,10.32,49.8,49.8,24.54,--,10.07,10.07,10.57,10.57,10.21,--,9.96,9.96,10.79,10.79,213402.67,418192.82,187229.7,2140580.81,3827324.57,2462311.3,1554307.8,--,10645176.56,3742933.5,3542833.09,545737.66,6083870.92,--,23551.76,10156.54,2864890.29,2121424.14
1:01,BLK 1,7/10/2025 11:07,13.92,13.14,4.26,4.36,30.96,30.3,6.63,4.73,8.6,8.35,0.61,0.53,0.58,0.98,0.04 u,0.35 u,1.72,1.7,362.75,735.29,458.17,5164.3,13162.41,8408.31,2319.42,14825.25,58495.65,18271.39,1132.25,145.92,12309.8,1918.54,1.68,5.59,2454.72,1552.09
1:02,BLK 2,7/10/2025 11:09,17.12,17.88,6.06,5.85,33.66,32.85,8.55,4.77,9.69,9.35,0.62,0.64,1.92,2.14,0.74,-0.82 u,1.83,1.77,410.3,884.9,589.34,6291.24,13516.39,8610.1,2708.7,14780.24,62006.24,19262.66,1089.13,164.68,15337.02,3203.74,9.03,0.16,2469.49,1535.06
