Rack:Tube,Solution Label,Timestamp,Al 237.312 nm ppm,Al 308.215 nm ppm,Ca 315.887 nm ppm,Ca 422.673 nm ppm,Fe 238.204 nm ppm,Fe 259.940 nm ppm,K 766.491 nm ppm,K 769.897 nm ppm,Mg 279.553 nm ppm,Mg 280.270 nm ppm,Mn 257.610 nm ppm,Mn 293.931 nm ppm,Na 588.995 nm ppm,Na 589.592 nm ppm,P 213.618 nm ppm,P 214.914 nm ppm,Ti 334.941 nm ppm,Ti 336.122 nm ppm,Al 237.312 nm c/s,Al 308.215 nm c/s,Ca 315.887 nm c/s,Ca 422.673 nm c/s,Fe 238.204 nm c/s,Fe 259.940 nm c/s,K 766.491 nm c/s,K 769.897 nm c/s,Mg 279.553 nm c/s,Mg 280.270 nm c/s,Mn 257.610 nm c/s,Mn 293.931 nm c/s,Na 588.995 nm c/s,Na 589.592 nm c/s,P 213.618 nm c/s,P 214.914 nm c/s,Ti 334.941 nm c/s,Ti 336.122 nm c/s
Rack:Tube,Solution Label,Timestamp,Al 237.312 nm ppm,Al 308.215 nm ppm,Ca 315.887 nm ppm,Ca 422.673 nm ppm,Fe 238.204 nm ppm,Fe 259.940 nm ppm,K 766.491 nm ppm,K 769.897 nm ppm,Mg 279.553 nm ppm,Mg 280.270 nm ppm,Mn 257.610 nm ppm,Mn 293.931 nm ppm,Na 588.995 nm ppm,Na 589.592 nm ppm,P 213.618 nm ppm,P 214.914 nm ppm,Ti 334.941 nm ppm,Ti 336.122 nm ppm,Al 237.312 nm c/s,Al 308.215 nm c/s,Ca 315.887 nm c/s,Ca 422.673 nm c/s,Fe 238.204 nm c/s,Fe 259.940 nm c/s,K 766.491 nm c/s,K 769.897 nm c/s,Mg 279.553 nm c/s,Mg 280.270 nm c/s,Mn 257.610 nm c/s,Mn 293.931 nm c/s,Na 588.995 nm c/s,Na 589.592 nm c/s,P 213.618 nm c/s,P 214.914 nm c/s,Ti 334.941 nm c/s,Ti 336.122 nm c/s
S1:1,Blank,7/11/2025 10:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.45,247.92,123.58,1494.96,1199.13,819.44,635.33,13094.55,6473.79,2031.31,96.11,23.03,10892.48,831.75,4.19,-2.22,229.69,-34.45
S1:2,Standard 1,7/11/2025 11:01,1.49,1.49,0.3,0.3,1.47,1.47,0.74,0.74,0.31,0.31,0.33,0.33,0.31,0.31,0.32,0.32,0.3,0.3,6691.99,12873.71,5870.49,61190.46,128795.81,83550.4,36827.84,45724.61,436482.89,137150.05,120880.08,18190.95,156069.17,71365.91,747.77,328.12,84815.06,61697.41
S1:3,Standard 2,7/11/2025 11:03,3,3,0.61,0.61,2.98,2.98,1.5,1.5,0.63,0.63,0.66,0.66,0.63,0.63,0.64,0.64,0.6,0.6,13395.66,25652.25,11721.79,123320.95,257989,167161.44,77055.53,79866.46,869048.05,273628.74,242709.66,36382.12,310836.83,147472.08,1511.03,658.38,171088.06,124462.19
S1:4,Standard 3,7/11/2025 11:05,6.1,6.1,1.24,1.24,6.06,6.06,3.05,3.05,1.28,1.28,1.35,1.35,1.29,1.29,1.3,1.3,1.22,1.22,27066.98,52112.51,23608.38,254029.71,518847.98,332737.01,165220.39,155319.21,1715848.14,543698.85,485454.85,73090.45,649032.87,315125.36,3034.48,1324.02,345583.32,251479.06
S1:5,Standard 4,7/11/2025 11:07,12.39,12.39,2.52,2.52,12.31,12.31,6.19,6.19,2.6,2.6,2.74,2.74,2.62,2.62,2.64,2.64,2.49,2.49,54256.51,106273.83,47455.91,524093.54,1030259.53,665193.93,358524.94,326188.48,3353305.4,1081465.96,967626.2,146487.65,1390923.28,685891.11,6172.1,2687.65,696582.68,507886.71
S1:6,Standard 5,7/11/2025 11:09,25.08,25.08,5.11,5.11,24.92,24.92,12.53,12.53,5.26,5.26,5.54,5.54,5.3,5.3,5.35,5.35,5.04,5.04,108729.97,216474.19,95236.39,1079076.93,2036117.6,1318433.99,762715.51,703449.48,6309193.23,2103745.13,1923808.25,294467.77,2985472.75,1518574.54,12607.71,5455.42,1407755.29,1026434.02
S1:7,Standard 6,7/11/2025 11:11,49.09,49.09,9.99,9.99,48.77,48.77,24.53,24.53,--,10.3,10.84,10.84,10.38,--,10.48,10.48,9.86,9.86,210252.87,421498.07,183162.11,2114354.82,3791051.89,2474261.01,1554302.27,1487696.09,--,3846746.83,3608197.44,561431.21,6140399.77,--,24489.97,10645.82,2699548.18,1977451.03
1:01,BLK 1,7/11/2025 11:13,3.27,5.54,1.13,1.15,9.63,9.44,1.07,0.72,1.1,1.12,0.12,0.11,1.57,1.73,-0.15 u,1.12,0.08,0.14,153.26,460.35,219.69,2539.97,4780.87,3118.44,916.03,13257.37,13207.07,4137.42,285.28,50.72,14513.65,2721.88,2.61,2.92,326.6,93.98
1:02,BLK 2,7/11/2025 11:15,2.87,3.43,1.38,1.28,9.02,8.85,1.19,1.14,1.13,1.15,0.05,0.01 u,0.83,1.1,0.09 u,1.84,0.02,0.09,146.37,381.94,243.75,2679.3,4615.03,3016.4,953.3,13358.5,13531.38,4234.4,186.73,25.8,12848.56,2052.65,5.14,6.4,253.57,46.55
