Rack:Tube,Solution Label,Timestamp,Al 237.312 nm ppm,Al 308.215 nm ppm,Ca 315.887 nm ppm,Ca 422.673 nm ppm,Fe 238.204 nm ppm,Fe 259.940 nm ppm,K 766.491 nm ppm,K 769.897 nm ppm,Mg 279.553 nm ppm,Mg 280.270 nm ppm,Mn 257.610 nm ppm,Mn 293.931 nm ppm,Na 588.995 nm ppm,Na 589.592 nm ppm,P 213.618 nm ppm,P 214.914 nm ppm,Ti 334.941 nm ppm,Ti 336.122 nm ppm,Al 237.312 nm c/s,Al 308.215 nm c/s,Ca 315.887 nm c/s,Ca 422.673 nm c/s,Fe 238.204 nm c/s,Fe 259.940 nm c/s,K 766.491 nm c/s,K 769.897 nm c/s,Mg 279.553 nm c/s,Mg 280.270 nm c/s,Mn 257.610 nm c/s,Mn 293.931 nm c/s,Na 588.995 nm c/s,Na 589.592 nm c/s,P 213.618 nm c/s,P 214.914 nm c/s,Ti 334.941 nm c/s,Ti 336.122 nm c/s
Rack:Tube,Solution Label,Timestamp,Al 237.312 nm ppm,Al 308.215 nm ppm,Ca 315.887 nm ppm,Ca 422.673 nm ppm,Fe 238.204 nm ppm,Fe 259.940 nm ppm,K 766.491 nm ppm,K 769.897 nm ppm,Mg 279.553 nm ppm,Mg 280.270 nm ppm,Mn 257.610 nm ppm,Mn 293.931 nm ppm,Na 588.995 nm ppm,Na 589.592 nm ppm,P 213.618 nm ppm,P 214.914 nm ppm,Ti 334.941 nm ppm,Ti 336.122 nm ppm,Al 237.312 nm c/s,Al 308.215 nm c/s,Ca 315.887 nm c/s,Ca 422.673 nm c/s,Fe 238.204 nm c/s,Fe 259.940 nm c/s,K 766.491 nm c/s,K 769.897 nm c/s,Mg 279.553 nm c/s,Mg 280.270 nm c/s,Mn 257.610 nm c/s,Mn 293.931 nm c/s,Na 588.995 nm c/s,Na 589.592 nm c/s,P 213.618 nm c/s,P 214.914 nm c/s,Ti 334.941 nm c/s,Ti 336.122 nm c/s
S1:1,Blank,10/3/2025 11:03,0,0,0,0,0,0,--,--,0,0,0,0,--,--,0,--,0,0,60.57,503.86,-109.6,575.72,769.34,602.24,--,--,4459.69,1267.09,514.51,88.34,--,--,1.16,--,456.12,255.26
S1:2,Standard 1,10/3/2025 11:05,0.71,0.71,0.14,0.14,0.71,0.71,0.36,0.36,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,2321.2,5771.65,1669.41,26641.71,53701.16,41001.38,12677.56,31224.12,195436.21,54786.14,49294.44,7746.36,71468.14,23202.53,213.61,126.47,48737.36,32821.4
S1:3,Standard 2,10/3/2025 11:07,1.44,1.44,0.29,0.29,1.45,1.45,0.72,0.72,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,4620.47,11165.46,3677.7,52138.18,107068.94,81587.96,25721.54,40822.14,388072.95,108645.91,98147.31,15524.25,119034.08,46627.09,411.18,252.64,97424.36,65572.01
S1:4,Standard 3,10/3/2025 11:09,2.94,2.94,0.59,0.59,2.95,2.95,1.47,1.47,0.59,0.59,0.59,0.59,0.6,0.6,0.59,0.59,0.59,0.59,9404.17,22288.49,7440.58,105852.07,218779.47,166031.03,54229.24,61474.25,782471.95,219926.52,199865.18,31404.75,220845.57,97508.13,850.72,517.45,199166.97,133970.07
S1:5,Standard 4,10/3/2025 11:11,6.03,6.03,1.22,1.22,6.06,6.06,3.02,3.02,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,19286.55,45201.53,15194.17,219432.85,446038.29,337651.49,116520.32,105521.51,1571825.22,447537.72,406898.33,63956.14,435261.7,208880.77,1749.53,1057.71,408681.3,275034.31
S1:6,Standard 5,10/3/2025 11:13,12.21,12.21,2.46,2.46,12.25,12.25,6.11,6.11,2.46,2.46,2.46,2.46,2.47,2.47,2.46,2.46,2.47,2.47,38547.63,91355.79,30261.12,449445.23,883928.3,669010.02,250101.14,199261.85,3089829.45,880662.77,807510.89,127855.48,882775.7,444948.96,3543.54,2117.19,820187.58,552556.69
S1:7,Standard 6,10/3/2025 11:15,24.59,24.59,4.96,4.96,24.69,24.69,12.31,12.31,4.96,4.96,4.96,4.96,4.98,4.98,4.95,4.95,4.97,4.97,77141.61,185381.41,60639.41,921243.79,1753835.43,1323652.98,533008.92,405165.86,5898370.51,1728714.86,1600543.85,254641.9,1918393.92,973858.37,7142.88,4268.43,1646514.01,1110447.13
1:01,BLK 1,10/3/2025 11:17,-0.20 u,-0.88 u,2.4,1.89,0.71,0.67,8.58,8.14,0.14,0.14,-0.12 u,-0.15 u,4.29,4.85,0.23 u,-0.81 u,-0.05 u,-0.04 u,54.64,442.53,170.7,3797.24,1250.67,952.24,311.39,22679.37,6235.89,1755.99,129.43,14.64,30122.25,3101.32,4.22,-0.62,296.98,179.5
1:02,BLK 2,10/3/2025 11:18,1.45,1.2,1.16,1.63,1.14,1.14,8.4,11.78,0.00 u,-0.01 u,-0.12 u,-0.12 u,4.21,4.5,0.15,-0.22 u,-0.02 u,-0.03 u,106.06,592.47,33.74,3508.55,1589.61,1235.77,419.83,23843.18,4440.12,1247.36,122.9,23.23,30624.62,2936.9,3.34,4.02,382.18,187.52
