Sample,Rjct,Data File,Acq. Date-Time,Type,Level,Solution Label,Total Dil.,Vial Number,7  Li  [ No Gas ] ,7  Li  [ He ] ,9  Be  [ No Gas ] ,9  Be  [ He ] ,45  Sc  [ No Gas ] ,45  Sc  [ He ] ,51  V  [ No Gas ] ,51  V  [ He ] ,52  Cr  [ No Gas ] ,52  Cr  [ He ] ,59  Co  [ No Gas ] ,59  Co  [ He ] ,60  Ni  [ No Gas ] ,60  Ni  [ He ] ,63  Cu  [ No Gas ] ,63  Cu  [ He ] ,66  Zn  [ No Gas ] ,66  Zn  [ He ] ,71  Ga  [ No Gas ] ,71  Ga  [ He ] ,85  Rb  [ No Gas ] ,85  Rb  [ He ] ,88  Sr  [ No Gas ] ,88  Sr  [ He ] ,89  Y  [ No Gas ] ,89  Y  [ He ] ,90  Zr  [ No Gas ] ,90  Zr  [ He ] ,95  Mo  [ No Gas ] ,95  Mo  [ He ] ,107  Ag  [ No Gas ] ,107  Ag  [ He ] ,111  Cd  [ No Gas ] ,111  Cd  [ He ] ,118  Sn  [ No Gas ] ,118  Sn  [ He ] ,121  Sb  [ No Gas ] ,121  Sb  [ He ] ,133  Cs  [ No Gas ] ,133  Cs  [ He ] ,137  Ba  [ No Gas ] ,137  Ba  [ He ] ,138  Ba  [ He ] ,139  La  [ No Gas ] ,139  La  [ He ] ,140  Ce  [ No Gas ] ,140  Ce  [ He ] ,141  Pr  [ No Gas ] ,141  Pr  [ He ] ,146  Nd  [ No Gas ] ,146  Nd  [ He ] ,147  Sm  [ No Gas ] ,147  Sm  [ He ] ,153  Eu  [ No Gas ] ,153  Eu  [ He ] ,157  Gd  [ No Gas ] ,157  Gd  [ He ] ,159  Tb  [ No Gas ] ,159  Tb  [ He ] ,163  Dy  [ No Gas ] ,163  Dy  [ He ] ,165  Ho  [ No Gas ] ,165  Ho  [ He ] ,166  Er  [ No Gas ] ,166  Er  [ He ] ,169  Tm  [ No Gas ] ,169  Tm  [ He ] ,172  Yb  [ No Gas ] ,172  Yb  [ He ] ,175  Lu  [ No Gas ] ,175  Lu  [ He ] ,178  Hf  [ No Gas ] ,178  Hf  [ He ] ,181  Ta  [ No Gas ] ,181  Ta  [ He ] ,205  Tl  [ No Gas ] ,205  Tl  [ He ] ,206  [Pb]  [ He ] ,207  [Pb]  [ He ] ,208  Pb  [ No Gas ] ,208  Pb  [ He ] ,209  Bi  [ No Gas ] ,209  Bi  [ He ] ,232  Th  [ No Gas ] ,232  Th  [ He ] ,238  U  [ No Gas ] ,238  U  [ He ] ,103  Rh ( ISTD )  [ No Gas ] ,,103  Rh ( ISTD )  [ He ] ,
,,,,,,,,,Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc. [ ppb ],Conc.,Conc. RSD,Conc.,Conc. RSD
103  Rh ( ISTD )  [ No Gas ] :  CPS RSD value = 5.29 is over the allowed maximum = 5.00,FALSE,001SMPL.d,14-05-2025 11:32,Sample,,Wash,1,1101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137  Ba  [ No Gas ] :  CPS RSD value = 5.64 is over the allowed maximum = 5.00,FALSE,002SMPL.d,14-05-2025 11:36,Sample,,Wash,1,1101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,003SMPL.d,14-05-2025 11:40,Sample,,Wash,1,1101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,004SMPL.d,14-05-2025 11:44,Sample,,Wash,1,1101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138  Ba  [ He ] :  CPS RSD value = 5.52 is over the allowed maximum = 5.00,FALSE,005CALB.d,14-05-2025 11:48,CalBlk,1,Blank,1,1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
88  Sr  [ No Gas ] :  CPS RSD value = 8.49 is over the allowed maximum = 5.00175  Lu  [ No Gas ] :  CPS RSD value = 6.46 is over the allowed maximum = 5.00181  Ta  [ No Gas ] :  CPS RSD value = 6.29 is over the allowed maximum = 5.00232  Th  [ No Gas ] :  CPS RSD value = 6.50 is over the allowed maximum = 5.00,FALSE,006CALS.d,14-05-2025 11:52,CalStd,2,Standard 1,1,1102,0.11,0.112,0.102,0.065,0.088,0.117,0.094,0.097,0.064,0.076,0.099,0.106,0.078,0.093,0.08,0.091,<0.000,<0.000,0.096,0.109,0.085,0.105,0.088,0.093,0.098,0.117,0.096,0.104,0.096,0.093,0.067,0.071,0.101,0.114,0.094,0.097,0.097,0.108,0.099,0.107,<0.000,<0.000,<0.000,0.1,0.107,0.096,0.097,0.098,0.105,0.099,0.105,0.098,0.104,0.098,0.11,0.096,0.096,0.101,0.1,0.101,0.1,0.095,0.104,0.095,0.099,0.095,0.103,0.101,0.107,0.095,0.104,0.103,0.109,0.072,0.068,0.094,0.103,0.076,0.082,0.071,0.078,0.099,0.099,0.093,0.098,0.098,0.101,,,,
157  Gd  [ He ] :  CPS RSD value = 6.11 is over the allowed maximum = 5.00207  [Pb]  [ He ] :  CPS RSD value = 5.98 is over the allowed maximum = 5.00208  Pb  [ No Gas ] :  CPS RSD value = 5.16 is over the allowed maximum = 5.00232  Th  [ No Gas ] :  CPS RSD value = 5.03 is over the allowed maximum = 5.00,FALSE,007CALS.d,14-05-2025 11:56,CalStd,3,Standard 2,1,1103,1.101,1.053,1.029,1.062,0.903,0.992,0.995,1.05,0.975,1.02,1.01,1.04,1.003,1.021,0.991,1.046,<0.000,<0.000,0.991,1.143,0.978,1.068,0.988,1.068,0.972,1.114,0.97,1.085,1.021,1.106,1.06,1.115,1.066,1.047,0.999,1.04,0.961,1.106,1.013,1.08,0.93,1.089,0.993,1.018,1.067,0.981,1.017,0.988,1.059,1.029,1.074,0.978,1.061,0.987,1.063,1.025,1.044,1.018,1.032,1.018,1.071,0.986,1.048,0.932,1.058,1.009,1.027,0.966,1.07,0.991,1.058,0.994,1.075,0.804,0.768,0.969,1.012,1.025,1.048,0.975,1.008,0.978,1.001,0.97,0.971,0.958,1.025,,,,
147  Sm  [ No Gas ] :  CPS RSD value = 5.49 is over the allowed maximum = 5.00208  Pb  [ No Gas ] :  CPS RSD value = 5.69 is over the allowed maximum = 5.00232  Th  [ No Gas ] :  CPS RSD value = 5.76 is over the allowed maximum = 5.00,FALSE,008CALS.d,14-05-2025 12:00,CalStd,4,Standard 3,1,1104,10.836,10.22,10.229,9.87,9.096,9.868,9.56,10.251,9.85,10.263,9.661,9.997,9.781,10.336,9.73,10.248,8.567,8.315,9.53,10.473,9.963,10.45,9.641,10.525,9.792,10.564,9.675,10.307,9.548,10.404,10.906,11.505,10.063,10.236,9.525,10.437,9.64,10.274,9.505,10.609,10.112,10.816,10.253,9.702,10.414,9.746,9.673,9.742,10.229,9.608,10.4,9.75,10.503,9.653,10.168,9.989,10.573,9.567,10.027,9.72,10.268,9.761,9.76,9.226,10.116,9.782,9.818,9.782,10.026,9.399,10.181,9.757,10.057,8.739,8.724,9.854,9.658,10.096,9.866,9.304,9.915,9.783,9.719,9.56,9.751,9.438,9.855,,,,
107  Ag  [ He ] :  CPS RSD value = 5.06 is over the allowed maximum = 5.00147  Sm  [ He ] :  CPS RSD value = 5.15 is over the allowed maximum = 5.00157  Gd  [ No Gas ] :  CPS RSD value = 6.35 is over the allowed maximum = 5.00157  Gd  [ He ] :  CPS RSD value = 5.71 is over the allowed maximum = 5.00207  [Pb]  [ He ] :  CPS RSD value = 5.25 is over the allowed maximum = 5.00209  Bi  [ He ] :  CPS RSD value = 5.19 is over the allowed maximum = 5.00232  Th  [ He ] :  CPS RSD value = 5.73 is over the allowed maximum = 5.00238  U  [ He ] :  CPS RSD value = 6.17 is over the allowed maximum = 5.00,FALSE,009CALS.d,14-05-2025 12:04,CalStd,5,Standard 4,1,1105,21.295,21.955,20.643,19.594,18.255,19.977,19.377,19.949,19.627,20.679,19.735,19.55,19.463,20.715,19.447,20.54,19.066,18.926,19.127,20.857,19.674,20.964,19.809,20.276,19.47,21.398,19.779,20.751,19.574,20.805,20.591,21.406,20.11,21.029,18.906,20.021,19.155,21.104,19.839,20.971,20.175,21.907,20,19.456,20.732,19.696,19.313,19.653,20.581,19.473,21.212,19.406,20.667,19.171,20.383,20.359,20.363,19.795,20.262,20.13,20.527,19.545,20.288,18.699,20.383,20.215,20.048,19.317,20.914,20.009,19.753,19.016,20.667,19.219,18.655,18.532,19.438,20.196,20.345,19.319,19.71,19.313,19.343,19.506,19.263,19.304,19.57,,,,
