Rack:Tube,Solution Label,Timestamp,Al 237.312 nm ppm,Al 308.215 nm ppm,Ca 315.887 nm ppm,Ca 422.673 nm ppm,Fe 238.204 nm ppm,Fe 259.940 nm ppm,K 766.491 nm ppm,K 769.897 nm ppm,Mg 279.553 nm ppm,Mg 280.270 nm ppm,Mn 257.610 nm ppm,Mn 293.931 nm ppm,Na 588.995 nm ppm,Na 589.592 nm ppm,P 213.618 nm ppm,P 214.914 nm ppm,Ti 334.941 nm ppm,Ti 336.122 nm ppm,Al 237.312 nm c/s,Al 308.215 nm c/s,Ca 315.887 nm c/s,Ca 422.673 nm c/s,Fe 238.204 nm c/s,Fe 259.940 nm c/s,K 766.491 nm c/s,K 769.897 nm c/s,Mg 279.553 nm c/s,Mg 280.270 nm c/s,Mn 257.610 nm c/s,Mn 293.931 nm c/s,Na 588.995 nm c/s,Na 589.592 nm c/s,P 213.618 nm c/s,P 214.914 nm c/s,Ti 334.941 nm c/s,Ti 336.122 nm c/s
Rack:Tube,Solution Label,Timestamp,Al 237.312 nm ppm,Al 308.215 nm ppm,Ca 315.887 nm ppm,Ca 422.673 nm ppm,Fe 238.204 nm ppm,Fe 259.940 nm ppm,K 766.491 nm ppm,K 769.897 nm ppm,Mg 279.553 nm ppm,Mg 280.270 nm ppm,Mn 257.610 nm ppm,Mn 293.931 nm ppm,Na 588.995 nm ppm,Na 589.592 nm ppm,P 213.618 nm ppm,P 214.914 nm ppm,Ti 334.941 nm ppm,Ti 336.122 nm ppm,Al 237.312 nm c/s,Al 308.215 nm c/s,Ca 315.887 nm c/s,Ca 422.673 nm c/s,Fe 238.204 nm c/s,Fe 259.940 nm c/s,K 766.491 nm c/s,K 769.897 nm c/s,Mg 279.553 nm c/s,Mg 280.270 nm c/s,Mn 257.610 nm c/s,Mn 293.931 nm c/s,Na 588.995 nm c/s,Na 589.592 nm c/s,P 213.618 nm c/s,P 214.914 nm c/s,Ti 334.941 nm c/s,Ti 336.122 nm c/s
S1:1,Blank,28-04-2025 13:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.15,856.3,7.19,185.81,17.94,37.79,157.81,16234.07,103.54,51.08,57.42,5.39,19936.41,159.42,8.23,0.49,110.16,97.14
S1:2,Standard 1,28-04-2025 13:38,1.58,1.58,0.16,0.16,1.49,1.49,0.79,0.79,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,6740.82,16700.53,3764.12,45379.46,167977.4,119202.71,38089.31,51868.15,270463.47,74136.29,71289.16,11561.21,92632.11,34659.81,464.23,179.44,68755.92,46665.44
S1:3,Standard 2,28-04-2025 13:40,3.12,3.12,0.31,0.31,3.03,3.03,1.57,1.57,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.31,0.31,13492.18,32240.89,7884.21,88657.17,330786.18,235619.8,78330.17,86143.13,531517.96,146891.89,141029.47,22833.68,167233.45,70475.4,942.49,360.24,136711.57,92707.51
S1:4,Standard 3,28-04-2025 13:42,6.31,6.31,0.63,0.63,6.13,6.13,3.17,3.17,0.63,0.63,0.62,0.62,0.62,0.62,0.61,0.61,0.63,0.63,27161.87,64177.12,15048.25,171861.34,667794.51,473781.95,166768.41,161574.51,1053467.99,292442.08,283970.68,45838.54,327717.57,149478.26,1891.51,705.43,276969.36,187690.99
S1:5,Standard 4,28-04-2025 13:43,12.65,12.65,1.26,1.26,12.28,12.28,6.36,6.36,1.26,1.26,1.25,1.25,1.25,1.25,1.23,1.23,1.26,1.26,54152.67,128659.17,28913.36,339221.38,1306192.33,931076.38,355630.95,329480.78,2064231.96,574191.81,559784.71,90872.79,666786.36,319948.32,3789.53,1425.15,552202.79,376780.41
S1:6,Standard 5,28-04-2025 13:45,25.14,25.14,2.51,2.51,24.41,24.41,12.64,12.64,2.5,2.5,2.48,2.48,2.48,2.48,2.45,2.45,2.5,2.5,106145.99,256330.04,55631.78,673297.14,2536355.27,1804407.98,737307.67,684940.87,3932262.94,1108061.93,1089631.51,177538.41,1391627,684915.63,7477.5,2814.55,1086676.59,737709.52
S1:7,Standard 6,28-04-2025 13:47,50.51,50.51,5.05,5.05,49.04,49.04,--,--,5.02,5.02,4.99,4.99,--,--,4.91,4.91,5.02,5.02,211110.65,518074.52,109640.53,1374744.27,4857609.91,3487254.12,--,--,7342899.59,2143321.83,2134739.03,350943.31,--,--,15012.89,5654.05,2156787.25,1466194.61
01:01,BLK 1,28-04-2025 13:50,3.14,5.22,4.28,4.28,43.04,43.44,1.69,8.7,0.85,0.83,0.2,0.2,5.51,5.35,0.49,0.68 u,0.26,0.23,141.34,1374.13,992.16,11678.83,45693.57,32737.14,998.51,20123.66,13794.73,3807.04,963.86,145.63,46633.27,13043.17,22.81,8.24,1244.33,778.71
01:02,BLK 2,28-04-2025 13:51,1.09,3.33,5.09,5.06,41.53,41.77,1.11,6.57,0.65,0.63,0.16,0.15,5.16,4.92,0.22 u,-0.08 u,0.11,0.08,56.61,1194.38,1202.84,14072.9,45075.67,32177.19,719.96,19234.73,10811.16,2975.68,787.84,117.12,45471,12268.54,14.85,-0.48,592.94,326.23
01:03,BLK 3,28-04-2025 13:53,0.55,1.89,3.46,3.45,39.23,39.61,0.78,6.5,0.37,0.37,0.15,0.14,2.93,2.8,0.08 u,0.01 u,0.08,0.04,33.49,1046.07,809.8,9540.12,42020.22,30118.89,551.02,19163.88,6188.18,1711.61,747.35,103.71,34237.12,6952.46,10.65,0.64,441.36,221.13
S1:8,QC MES 5 ppm,28-04-2025 13:55,4.91,4.88,4.5,4.58,4.85,4.87,5.41,5.3,4.48,4.65,4.75,4.85,4.94,5.05,4.93,4.87,4.79,4.78,20862.88,50100.09,105265.08,1250909.77,522550.55,372794.42,273730.31,257100.28,7323677.17,2130066.73,2141240.33,352862.22,2449663.56,1235274.91,15048.28,5606.83,2098684.19,1425637.13
S1:9,SJS-Std,28-04-2025 13:57,79921.12,79088.4,19696.95,19358.66,37501.38,37387.43,24132.12,23754.57,15564.61,15483.99,578.63,575.18,13180.48,13235.92,672.82,821.39,3532.5,3519.51,33915.04,80483.71,45953.18,527332,403615.97,285421.5,121937.71,123873.44,2538977.78,707687.14,26070.65,4179.26,666996.38,323479.91,212.99,94.78,154642.29,104856.58
S1:9,SJS-Std,28-04-2025 13:59,79553.63,78821.61,19618.55,19272.88,37369.87,37480.8,24064.67,23656.63,15499.38,15415.54,575.05,570.86,13091.69,13111.4,674.83,727,3522.77,3511.61,33759.14,80215.1,45770.29,524996.15,402200.66,286134.2,121597.36,123429.65,2528337.49,704558.6,25909.88,4147.86,662637.17,320438.32,213.6,83.95,154216.62,104621.47
S1:9,SJS-Std,28-04-2025 14:01,79931.37,79116.35,19673.33,19359.23,37442.27,37231.86,24126.45,23724.81,15535.64,15449.81,575.5,574.95,13160.33,13142.6,652.88,771.49,3531.7,3518.33,33919.39,80511.85,45898.06,527347.51,402979.89,284234.05,121909.09,123738.58,2534251.9,706124.73,25929.92,4177.54,666007.14,321200.44,206.92,89.06,154607.37,104821.42
01:04,MCS 575,28-04-2025 14:03,81895.69,82353.28,1432.74,1455.62,38134.3,38128.56,26472.68,25992.93,7278.8,7263.47,723.84,727.23,4124.44,4089.86,411.52,450.36,4372.81,4362.08,86659.88,207649.41,8342.49,99043.47,1023600.6,725908.67,333341.24,309988.6,2961304.58,827948.59,81217.53,13167.09,524926.71,249327.84,320.59,129.44,477202.61,323921.51
01:05,MCS 576,28-04-2025 14:05,74784.11,75312.39,2167.71,2199.92,38889.32,38942.58,25955.06,25508.57,9402.27,9456.71,699.19,702.21,6133.85,6132.68,730.17,769.23,4201.21,4189.13,83677.41,200824.84,13342.23,158168.18,1103785.43,783961.42,345577.99,321062.61,4044755.01,1139808.22,82953.69,13443.69,814066.69,395230.07,594.26,233.37,484791.87,328933.59
01:06,MCS 577,28-04-2025 14:07,94663.02,95486.41,1179.36,1207.21,47306.29,47369.56,30954.62,30538.98,9181.13,9219.09,331.19,331.77,3519.46,3500.96,514.15,597.42,5657.86,5672.26,102237.84,245581.52,7010.15,83866.63,1296027.21,920466.91,397800.56,368496.09,3812400.29,1072563.63,37959.58,6133.96,459758.25,217856.73,406.55,175.07,630161.68,429884.71
01:07,MCS 578,28-04-2025 14:09,92273.91,93250.8,776.91,856.81,41101.84,41144.95,33300.87,33036.4,8505.72,8539.57,645.49,646.94,3397.76,3392.52,351.23,371.04,5123.04,5133.5,107675.07,259080.46,4991.62,64355.92,1216645.33,863840.57,462358.23,427962.79,3816105.46,1073441.34,79871.22,12917.25,478712.66,228086.77,302.22,117.64,616505.35,420358.12
