"Rack:Tube","Solution Label","Timestamp","Al 237.312 nm ppm","Al 308.215 nm ppm","Ca 315.887 nm ppm","Ca 422.673 nm ppm","Fe 238.204 nm ppm","Fe 259.940 nm ppm","K 766.491 nm ppm","K 769.897 nm ppm","Mg 279.553 nm ppm","Mg 280.270 nm ppm","Mn 257.610 nm ppm","Mn 293.931 nm ppm","Na 588.995 nm ppm","Na 589.592 nm ppm","P 213.618 nm ppm","P 214.914 nm ppm","Ti 334.941 nm ppm","Ti 336.122 nm ppm","Al 237.312 nm c/s","Al 308.215 nm c/s","Ca 315.887 nm c/s","Ca 422.673 nm c/s","Fe 238.204 nm c/s","Fe 259.940 nm c/s","K 766.491 nm c/s","K 769.897 nm c/s","Mg 279.553 nm c/s","Mg 280.270 nm c/s","Mn 257.610 nm c/s","Mn 293.931 nm c/s","Na 588.995 nm c/s","Na 589.592 nm c/s","P 213.618 nm c/s","P 214.914 nm c/s","Ti 334.941 nm c/s","Ti 336.122 nm c/s"
"Rack:Tube","Solution Label","Timestamp","Al 237.312 nm ppm","Al 308.215 nm ppm","Ca 315.887 nm ppm","Ca 422.673 nm ppm","Fe 238.204 nm ppm","Fe 259.940 nm ppm","K 766.491 nm ppm","K 769.897 nm ppm","Mg 279.553 nm ppm","Mg 280.270 nm ppm","Mn 257.610 nm ppm","Mn 293.931 nm ppm","Na 588.995 nm ppm","Na 589.592 nm ppm","P 213.618 nm ppm","P 214.914 nm ppm","Ti 334.941 nm ppm","Ti 336.122 nm ppm","Al 237.312 nm c/s","Al 308.215 nm c/s","Ca 315.887 nm c/s","Ca 422.673 nm c/s","Fe 238.204 nm c/s","Fe 259.940 nm c/s","K 766.491 nm c/s","K 769.897 nm c/s","Mg 279.553 nm c/s","Mg 280.270 nm c/s","Mn 257.610 nm c/s","Mn 293.931 nm c/s","Na 588.995 nm c/s","Na 589.592 nm c/s","P 213.618 nm c/s","P 214.914 nm c/s","Ti 334.941 nm c/s","Ti 336.122 nm c/s"
"S1:1","Blank","28-04-2025 16:08",0,0,0,0.01,0,0.01,-0.01,0.01,0.01,-0.01,0,0,0,0.01,0.01,0,0,0,10.6,824.58,7.49,194.49,18.08,36.33,156.43,15603.67,106.28,48.61,55.79,5.21,19702.3,158.65,8.32,0.48,107.69,95.21
"S1:2","Standard 1","28-04-2025 16:12",1.54,1.58,0.16,0.17,1.42,1.42,0.78,0.82,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,6448.26,16450.92,3681.49,43586.11,169975.56,118457.58,36863.68,53344.64,273829.18,75282.79,72051.98,11394.45,89090.43,35097.31,456.12,178.56,68724.35,48435.64
"S1:3","Standard 2","28-04-2025 16:16",2.99,3.17,0.31,0.32,3.17,3.13,1.56,1.59,0.31,0.31,0.32,0.29,0.31,0.31,0.3,0.31,0.32,0.3,13774.06,32971.76,7902.35,86794,317340.14,233363.53,74508.81,89480.85,513319.56,146865.13,139637.51,22887.73,165419.85,70052.99,939.41,345.55,132366.04,93162.46
"S1:4","Standard 3","28-04-2025 16:20",6.24,6.15,0.63,0.62,6.04,6.3,3.19,3.24,0.62,0.66,0.62,0.61,0.64,0.63,0.62,0.63,0.61,0.61,27542.36,61587.91,14309.84,172924.32,692344.89,489240.33,169242.4,161778.19,1094931.51,279913.94,284489.63,44222.12,331753.62,153886.45,1889.3,716.38,281607.69,185756.66
"S1:5","Standard 4","28-04-2025 16:23",13.05,12.64,1.26,1.28,12.03,11.87,6.18,6.33,1.31,1.22,1.21,1.24,1.21,1.25,1.27,1.22,1.25,1.31,55697.17,134986.72,27959.57,338670.44,1359220.17,922031.29,359854.66,345255.47,2040468.93,546650.47,544396.33,89620.45,673877.92,312094.15,3724.63,1360.43,547183.61,393020.7
"S1:6","Standard 5","28-04-2025 16:27",23.96,25.08,2.52,2.44,25.42,23.81,12.9,12.74,2.62,2.61,2.42,2.52,2.36,2.41,2.37,2.49,2.53,2.49,111214.35,265092.89,54205.91,663417.54,2631079.24,1821835.78,719603.87,686092.23,4068320.26,1077647.58,1138291.06,179273.91,1329437.12,702944.17,7205.71,2790.08,1037408.95,720743.25
"S1:7","Standard 6","28-04-2025 16:31",51.28,48.21,4.92,5.13,48.62,47.07,"--","--",4.94,4.86,5.03,4.95,"--","--",5,4.68,5.09,4.91,210364.08,528672.61,112441.66,1328288.19,4725878.38,3352514.07,"--","--",7627117.38,2141320.86,2115557.93,365608.78,"--","--",15754.48,5428.17,2115789.86,1533054.79
"01:01","BLK 1","28-04-2025 16:36",3.21,5.16,4.4,4.34,43.53,44.42,1.67,8.49,0.84,0.83,0.19,0.2,5.63,5.34,0.49,"0.68 u",0.25,0.23,145.25,1380.17,950.88,11112.41,47492.1,33419.87,1005.66,19422.08,13456.68,3844.32,961.75,150.47,45174.05,13043.3,23.81,8.39,1238.72,794.48
"01:02","BLK 2","28-04-2025 16:39",1.12,3.29,5.04,5.3,42.57,39.99,1.1,6.66,0.67,0.64,0.17,0.14,5.13,4.7,"0.22 u","-0.08 u",0.11,0.08,58.39,1161.31,1180.7,13932.97,45989.06,31754.54,685.98,18598.89,11316.91,2860.45,777.5,120.9,43632.85,11863.67,15.17,-0.48,613.36,329.03
